pm10,pm25,so2,co,o3,no2,categori
38,53,29,6,31,13,SEDANG
27,46,27,7,47,7,BAIK
44,58,25,7,40,13,SEDANG
30,48,24,4,32,7,BAIK
38,53,24,6,31,9,SEDANG
41,58,23,13,46,13,SEDANG
35,47,22,6,39,10,BAIK
37,54,26,16,17,10,SEDANG
47,61,16,27,22,12,SEDANG
23,25,16,11,33,8,BAIK
38,54,17,14,27,10,SEDANG
29,50,20,12,26,15,BAIK
34,44,17,13,20,9,BAIK
36,57,15,15,26,13,SEDANG
42,62,14,15,32,12,SEDANG
52,73,15,17,25,14,SEDANG
52,71,17,15,26,14,SEDANG
40,52,16,11,26,12,SEDANG
31,41,13,12,25,12,BAIK
35,34,12,12,22,13,BAIK
43,51,13,14,28,15,SEDANG
49,63,14,14,28,15,SEDANG
72,108,14,43,44,20,TIDAK SEHAT
33,48,12,14,23,10,BAIK
56,82,13,29,62,15,SEDANG
52,70,14,19,28,13,SEDANG
20,20,13,10,19,8,BAIK
27,41,14,18,17,11,BAIK
30,53,16,17,24,11,SEDANG
27,37,13,16,24,12,BAIK
36,51,13,16,26,10,SEDANG
38,58,2,11,65,6,SEDANG
29,46,---,12,80,12,SEDANG
37,59,---,10,86,13,SEDANG
30,49,---,9,77,7,SEDANG
35,52,---,8,77,7,SEDANG
48,60,---,12,85,14,SEDANG
35,50,---,9,72,15,SEDANG
38,55,---,11,71,9,SEDANG
51,67,12,27,80,12,SEDANG
24,39,13,10,59,14,SEDANG
35,54,13,12,68,13,SEDANG
27,51,15,7,77,15,SEDANG
33,44,13,10,68,7,SEDANG
28,49,11,6,65,11,SEDANG
42,60,11,14,65,12,SEDANG
49,71,13,10,67,9,SEDANG
55,75,16,10,93,10,SEDANG
35,49,13,5,78,9,SEDANG
31,42,11,6,58,9,SEDANG
42,45,11,6,72,6,SEDANG
46,44,12,9,67,13,SEDANG
51,60,12,8,67,16,SEDANG
73,108,14,43,104,19,TIDAK SEHAT
51,59,12,9,75,7,SEDANG
62,86,14,26,134,14,TIDAK SEHAT
54,76,26,14,71,12,SEDANG
21,29,25,7,63,5,SEDANG
28,49,25,10,53,7,SEDANG
28,49,26,7,65,9,SEDANG
27,39,25,10,64,8,SEDANG
38,55,24,11,68,7,SEDANG
43,56,15,10,33,5,SEDANG
58,86,15,22,38,5,SEDANG
64,93,14,20,35,5,SEDANG
50,67,13,15,17,4,SEDANG
59,89,15,19,42,7,SEDANG
52,81,18,28,52,11,SEDANG
22,52,16,12,44,5,SEDANG
26,68,21,22,40,9,SEDANG
25,77,17,32,31,8,SEDANG
15,33,16,7,23,4,BAIK
---,72,17,15,56,4,SEDANG
---,58,18,9,37,4,SEDANG
26,47,16,6,39,3,BAIK
29,78,20,14,40,8,SEDANG
24,82,19,16,64,6,SEDANG
70,92,19,16,60,7,SEDANG
58,86,22,11,43,9,SEDANG
51,64,21,7,38,5,SEDANG
42,56,19,7,37,6,SEDANG
46,---,17,17,41,10,BAIK
52,---,18,19,44,9,SEDANG
84,112,20,33,57,10,TIDAK SEHAT
89,126,19,42,64,13,TIDAK SEHAT
64,90,19,31,34,10,SEDANG
60,95,18,23,67,8,SEDANG
54,79,18,15,50,7,SEDANG
33,37,17,5,30,4,BAIK
26,49,16,9,26,5,BAIK
28,16,17,9,48,4,BAIK
46,13,16,10,41,4,BAIK
38,13,17,7,39,---,BAIK
41,,37,14,35,4,BAIK
44,,38,38,59,3,SEDANG
50,,37,16,52,5,SEDANG
45,,36,16,24,3,BAIK
52,,36,15,35,8,SEDANG
73,,32,29,66,6,SEDANG
36,,30,19,55,5,SEDANG
36,,31,23,51,6,SEDANG
60,,30,34,42,6,SEDANG
14,,28,9,38,3,BAIK
51,,29,17,57,4,SEDANG
23,,28,11,44,4,BAIK
36,,27,8,32,3,BAIK
35,,28,13,38,5,BAIK
51,,26,20,56,5,SEDANG
47,,27,18,38,7,BAIK
52,,28,12,41,8,SEDANG
34,,28,10,37,4,BAIK
25,,26,12,31,7,BAIK
54,,25,16,33,8,SEDANG
63,,25,21,38,7,SEDANG
52,,26,32,54,8,SEDANG
89,,27,47,61,11,SEDANG
57,,26,34,39,7,SEDANG
18,,25,7,19,4,BAIK
23,,25,11,20,5,BAIK
27,,26,9,36,4,BAIK
21,,26,16,32,6,BAIK
---,,---,17,---,---,BAIK
37,,20,12,25,4,BAIK
33,,18,20,64,6,SEDANG
42,,15,10,62,3,SEDANG
27,,14,7,31,4,BAIK
41,,15,9,28,---,BAIK
33,,12,19,46,---,BAIK
27,,13,11,36,---,BAIK
36,,18,19,28,---,BAIK
46,,17,26,27,12,BAIK
19,,20,8,34,5,BAIK
33,,21,10,34,9,BAIK
25,,22,6,38,6,BAIK
25,,20,5,27,9,BAIK
32,,17,8,36,7,BAIK
52,,15,15,41,7,SEDANG
---,,18,12,37,8,BAIK
---,,20,15,32,9,BAIK
---,,22,8,31,4,BAIK
29,,14,6,35,5,BAIK
30,,15,7,33,---,BAIK
43,,16,15,37,8,BAIK
45,,21,13,40,15,BAIK
80,,22,44,44,22,SEDANG
27,,14,9,29,---,BAIK
55,,19,29,67,13,SEDANG
